Output ThresholdedOutput
0.08652 0
0.76123 1
0.25991 0
0.16174 0
0.08621 0
0.74095 1
0.08643 0
0.08652 0
0.24106 0
0.15200 0
0.11383 0
0.75951 1
0.08636 0
0.54243 1
0.08625 0
0.76123 1
0.08621 0
0.16454 0
0.76123 1
0.76123 1
0.08620 0
0.76119 1
0.40893 0
0.12739 0
0.76123 1
0.76108 1
0.13390 0
0.76123 1
0.08620 0
0.76123 1
0.08620 0
0.76116 1
0.39469 0
0.08620 0
0.08621 0
0.75929 1
0.08639 0
0.08637 0
0.08621 0
0.08623 0
0.70618 1
0.08627 0
0.11248 0
0.17935 0
0.08623 0
0.76024 1
0.76119 1
0.76122 1
0.08620 0
0.76112 1
0.10880 0
0.08621 0
0.76123 1
0.76123 1
0.36406 0
0.76123 1
0.55645 1
0.08632 0
0.12838 0
0.08637 0
0.76123 1
0.76123 1
0.34852 0
0.08620 0
0.08621 0
0.24793 0
0.76123 1
Total instances: 67
Correctly classified: 58
